SITE_ID,DOMGEOL_BSN,DAMCNT_BSN,DAMDEN_BSN,ELEV_SITE,ELEVMAX_BSN,ELEVMEAN_BSN,ELEVMIN_BSN,GNEISSAREA_BSN,GNEISSPCT_BSN,GRANITICAREA_BSN,GRANITICPCT_BSN,HOUSEDEN_BSN,MAFULAREA_BSN,MAFULPCT_BSN,PERMRATE_BSN,PERMRATE_SITE,POPDEN_BSN,PSUM6M_BSN,PSUMPY_BSN,QTRNRYAREA_BSN,QTRNRYPCT_BSN,ROADDEN_BSN,SANDPCT_BSN,SITE_GEOLOGY,PMEAN_BSN,PMIN_BSN,PMAX_BSN,PIP_BSN,TIP_BSN,TMEAN_BSN,TMAX_BSN,TMIN_BSN,TMEANSD_BSN,TMINSD_BSN,TMAXSD_BSN,PMIN_PT,PMAX_PT,PMEAN_PT,PIP_PT,TIP_PT,TMIN_PT,TMAX_PT,TMEAN_PT,TMEANPW_PT,TMEANPY_PT
NLA_MI-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_MT-114,SDMNTRY,0,0,115236,127064,117901,115216,0,0,0,0,0.138561,0,0,5.06441,6,0.206309,12848.79981,48031.39844,0,0,0.880155,17.0373,SDMNTRY,39183.30078,940.697998,6757.049805,16921.30078,1877.189941,708.716003,1474.140015,-56.7202,99.218697,96.930199,110.426003,934,6711,39067,16741,1880.880005,-46,1480,716.987,-298.184998,855.924011
NLA12_MT-118,SDMNTRY,0,0,82100,91605,86625.79688,82091,0,0,0,0,0.349689,0,0,0.941245,1,0.568705,8234.980469,40167.39844,0,0,0.709962,26.6392,SDMNTRY,31490.80078,701.27301,7177.870117,17190.5,1683.099976,515.041992,1224.859985,-194.783005,116.169998,109.862999,133.024994,707,7105,31379,17059,1688.199951,-198,1258,529.828979,-556.333008,664.208008
NLA12_MT-119,SDMNTRY,27,0.011614537,81011,210600,96818.79688,80938,0,0,0,0,0.556712,0,0,1.83323,1,1.09167,8507.959961,31402,0,0,1.06417,23.031299,SDMNTRY,28510.69922,609.823975,6113.040039,15691.79981,1641.51001,613.528992,1345.050049,-117.987999,107.244003,95.045502,127.553001,705,6214,30184,14592,1721.199951,-106,1429,661.757019,-392.166992,745
NLA12_MT-120,GNEISS,0,0,172734,228943,192795,172513,4420000,100,0,0,0.632089,0,0,3.333329,3,0.419788,90722.89844,144848,0,0,0.188261,22,GNEISS,142508,4791.189941,16967.19922,53273.10156,1102.540039,158.496994,625.814026,-308.825012,92.7164,143.214005,92.464699,4449,15379,129864,49499,1125.359985,-280,680,199.854004,-525.705994,322.653015
NLA12_MT-124,SDMNTRY,0,0,184744,311162,240076,184632,20000,0.03,0,0,1.13407,0,0,7.65486,3,0.791104,41528.39844,83963.70313,0,0,0.222257,20.6643,SDMNTRY,82057.20313,4215.140137,10545.09961,21109.80078,1002.479981,132.604996,715.236023,-450.022003,72.004898,75.461403,90.413498,2600,8185,55831,15523,1188.699951,-345,1046,350.869995,-547.333008,344.958008
NLA12_MT-125,SDMNTRY,0,0,78667,83882,81092.39844,78323,0,0,0,0,0.174108,0,0,0.786364,1,0.257948,7177.410156,45881.10156,0,0,1.08878,27.1636,SDMNTRY,31740.19922,592.083984,5998.660156,16121,1870.880005,705.299988,1432.780029,-22.182501,111.158997,105.132004,130.016998,592,5994,31763,16125,1870.540039,-28,1434,703.135986,-358.871002,848.549011
NLA12_MT-126,SDMNTRY,0,0,67863,79372,73467.39844,67851,0,0,0,0,4.27987,0,0,2,2,7.74268,7708.069824,51458.80078,0,0,1.00221,30,SDMNTRY,35851.69922,773.961975,7413.25,18817,1692.829956,456.001007,1100.869995,-188.876007,114.575996,103.410004,136.395996,803,7441,36258,19102,1687.300049,-207,1104,448.847992,-646.666992,640.291992
NLA12_MT-132,SDMNTRY,0,0,133307,137581,134550,133304,0,0,0,0,0.487278,0,0,2,2,0.645343,13020.29981,41971.30078,0,0,0.970367,39,SDMNTRY,40263,1363.670044,7038.560059,15827.90039,1510.160034,587.299011,1317,-142.332993,96.531601,90.996201,109.799004,1369,7040,40302,15803,1513.199951,-142,1317,587.573975,-252.667007,664.708008
NLA12_MT-135,VOLCANIC,2,0.016562127,112862,210595,137455,112478,0,0,0,0,0.582145,0,0,4.099349,4,1.12116,23944.80078,58162.89844,0,0,0.713323,26.768199,VOLCANIC,51585.30078,1922.150024,10102.59961,28250.69922,1373.359985,504.274994,1137.439941,-128.895996,115.986,116.614998,132.529999,1254,8936,40158,22213,1505.5,-76,1288,606.163025,-265.833008,676.416992
NLA12_MT-136,GNEISS,0,0,122287,306873,183434,122226,115870000,82.75,0,0,0.632089,0,0,3.46246,0,0.419788,112539,174995,0,0,0.004841,25.735099,GNEISS,155530,6058.25,19499.5,59187.10156,1040.030029,193.216003,686.692017,-300.264008,133.166,153.667007,121.138001,3936,9754,77689,34991,1291,-149,1107,479.092987,-378.666992,493.958008
NLA12_MT-138,SDMNTRY,1,0.268728522,91074,97493,93135.39844,90870,0,0,0,0,0.16512,0,0,1,1,0.289822,9920.650391,44949.80078,0,0,1.00726,40,SDMNTRY,35644.69922,827.119019,6967.75,17525.19922,1838.75,736.450012,1416.699951,56.197399,108.459999,112.241997,135.602005,812,6888,35415,17200,1835.599976,41,1428,734.572998,-197.832993,869.083008
NLA12_MT-139,GNEISS,0,0,180072,254053,208067,179416,2760000,100,0,0,0.632089,0,0,5.143879,4,0.419788,141397,203576,0,0,0,32.762599,GNEISS,173004,6499.060059,22332.59961,56991.80078,986.362,83.247902,559.84198,-393.373993,130.285004,137.380005,128.942993,6230,19753,161002,59963,943.77002,-349,691,171.404999,-615.419983,190.011002
NLA12_MT-140,GNEISS,2,2.010638562,209982,242351,219362,208259,990000,100,0,0,3.60067,0,0,5.65979,4,8.302849,88192.39844,141062,0,0,0,21.267999,GNEISS,137346,4576.939941,16559.69922,31385.59961,1156.280029,237.908997,684.223023,-208.404999,81.904198,114.301003,93.809502,4608,16423,137279,30796,1164.25,-165,723,278.772003,-466.190002,358.753998
NLA12_MT-142,SDMNTRY,11,0.00942217,59060,80537,67160.89844,58908,0,0,0,0,0.807434,0,0,5.385769,2,1.25591,7272.049805,48926.30078,0,0,1.1475,37.006698,SDMNTRY,35346.80078,678.81897,7251.75,18746.09961,1713.410034,494.127991,1173.02002,-184.759995,116.725998,108.466003,133.376999,521,6617,32397,17335,1735.199951,-154,1255,550.632019,-571.685974,729.205017
NLA12_MT-143,SDMNTRY,0,0,140824,145106,142199,140823,0,0,0,0,1.684489,0,0,1,1,4.248,23763.80078,50437.10156,0,0,1.50722,9,SDMNTRY,48773,2843.639893,7793.180176,20484.90039,1326.900024,453.584015,1072.540039,-165.406998,92.214203,96.477898,98.708,2693,7520,46695,20515,1326.5,-165,1080,457.730011,-379.166992,510.416992
NLA12_MT-144,SDMNTRY,2,0.075196025,150066,175933,156605,146125,0,0,0,0,0.655439,0,0,2.348639,2,1.293179,11376.79981,46601.5,0,0,0.672344,25.312099,SDMNTRY,42845.30078,1156.76001,7657.620117,11676.2002,1514.699951,566.40802,1295.910034,-163.098999,80.108704,76.704002,90.644096,1092,7470,41280,11321,1542.26001,-136,1342,602.828003,-336.212006,632.736023
NLA12_MT-148,GNEISS,0,0,204544,225786,212220,204298,240000,100,0,0,2.414819,0,0,5,5,5.40767,90526,138534,0,0,1.28404,40,GNEISS,138630,4285.390137,17171.30078,28954.5,1179.109985,244.070999,721.820984,-233.606995,66.944298,71.907402,85.806702,4291,17320,139516,28703,1183.180054,-236,733,248.404007,-430.67099,402.221985
NLA12_MT-151,SDMNTRY,0,0,91227,102317,95748.89844,90997,0,0,0,0,0.789745,0,0,1.23924,1,1.75634,8705.230469,28652.59961,0,0,0.932317,9.82777,SDMNTRY,26566.30078,580.754028,5920.259766,16134.90039,1671.109985,646.000977,1412.099976,-120.101997,109.079002,92.521896,133.830994,548,5893,26022,14612,1702.599976,-118,1439,660.343994,-379.5,738.958008
NLA12_MT-152,SDMNTRY,0,0,267773,305808,281257,267596,0,0,0,0,0.385747,0,0,11,11,0.370216,50553.80078,103636,0,0,0.295767,32,SDMNTRY,103579,5602.879883,13756.40039,30414.19922,967.51001,26.8676,548.713013,-495,75.794601,109.782997,86.314003,5597,13786,103836,30510,965.5,-469,582,56.143398,-657.333008,151.457993
NLA12_MT-154,SDMNTRY,0,0,62413,67116,63878.89844,62389,0,0,0,0,0.726984,0,0,2,2,1.094449,7390.299805,50796.39844,0,0,1.68357,30,SDMNTRY,34257.80078,594.778992,7323.149902,17673.69922,1677.949951,432.47699,1087.459961,-222.520004,118.952004,113.789002,137.996002,584,7321,34230,17877,1677.949951,-222,1093,435.299011,-666.229981,623.052002
