SITE_ID,BASINAreaSqKM,OPEN_11_km2,ICE_11_km2,DEVOPEN_11_km2,DEVLOW_11_km2,DEVMED_11_km2,DEVHIGH_11_km2,BARREN_11_km2,DECID_11_km2,CONIF_11_km2,MIXED_11_km2,SHRUBLAND_11_km2,GRASS_11_km2,PASTURE_11_km2,CROPS_11_km2,WDYWET_11_km2,EMHERBWET_11_km2
NLA12_IN-193,0.3663,0.1476,0,0.0378,0.1116,0.063,0.0063,0,0,0,0,0,0,0,0,0,0
NLA12_WI-R08,0.3681,0.0261,0,0.0468,0,0,0,0,0.0279,0.0126,0.018,0,0,0,0,0.2367,0
NLA12_ME-112,0.369,0.0225,0,0,0,0,0,0,0.1836,0.0171,0.1161,0.0063,0,0,0,0.0234,0
NLA12_UT-408,0.3699,0.2277,0,0,0,0,0,0,0.0036,0.0333,0,0.1053,0,0,0,0,0
NLA12_NY-0111,0.3717,0.0558,0,0,0,0,0,0,0.1584,0,0.1539,0.0036,0,0,0,0,0
NLA12_MD-115,0.3708,0.0081,0,0.1125,0.0315,0,0,0,0.0144,0.1584,0.0414,0,0,0,0,0.0045,0
NLA12_CO-131,0.3708,0.1629,0,0,0,0,0,0,0,0.0288,0,0.0846,9e-4,0,0,0.0117,0.0819
NLA12_UT-159,0.3717,0.0162,0,0,0,0,0,0.0567,0,0.1179,0,0.0684,0.1125,0,0,0,0
NLA12_SD-173,0.3771,0.0333,0,0.0333,9e-4,9e-4,0,0,0.0144,0,0,0,0.2889,0.0054,0,0,0
NLA12_IL-121,0.378,0.0774,0,0.0459,0.0252,0.0027,0,0,0.0621,0,0,0.0126,0.1107,0,0.0414,0,0
NLA12_PA-117,0.3825,0.0126,0,0.0432,0.0027,0,0,0,0.2493,0,0,0,0,0.0162,0.0297,0.0288,0
NLA12_MS-123,0.3852,0.0126,0,0.0333,0.0072,0,0,0,0.0027,0.0693,0.0954,0.0801,0.0054,0.0333,0,0.0387,0.0072
NLA12_ID-119,0.3852,0.0135,0.0666,0,0,0,0,0.0432,0,0.0054,0,0.0054,0.2511,0,0,0,0
NLA12_ND-198,0.3906,0.0648,0,0.0225,0.0063,0,0,0,0.2277,0,0,0,0.0459,0,0,0,0.0234
NLA12_NE-113,0.3906,0.1548,0,0,0,0,0,0.0036,0,0,0,0,0.2322,0,0,0,0
NLA12_GA-122,0.3933,0.0153,0,0.0351,0.0135,0,0,0,0.1026,0.0855,0,0,0.0117,0.0927,0,0.0369,0
NLA12_MO-126,0.3942,0.0396,0,0.0558,0.045,0.0117,0.0036,0,0,0,0,0,0,0.1593,0.0306,0.0423,0.0063
NLA12_WA-177,0.3942,0.0117,0,0,0,0,0,0.018,0,0.3636,0,9e-4,0,0,0,0,0
NLA12_MS-121,0.3942,0.0486,0,0.0279,0.0234,0.0018,0,0,0.0198,0.0576,0.0351,0.1413,0,0.036,0,0.0027,0
NLA12_MS-128,0.396,0.0936,0,0.0243,0.0045,0,0,0,0.099,0.0702,0.027,0.0639,0,0,0,0.0018,0.0117
NLA12_WA-117,0.3987,0.0171,0,0,0,0,0,0,0,0.2916,0,0.054,0.036,0,0,0,0
NLA12_CA-199,0.3978,0.0063,0,0,0,0,0,0.3249,0,0,0,0,0.0666,0,0,0,0
NLA12_VT-115,0.4014,0.0441,0,0.0045,9e-4,0,0,0,0.0252,0.1287,0.0684,0.0243,0,0,0.0144,0.0909,0
NLA12_SC-124,0.405,0.0351,0,0,0,0,0,0,0.0441,0.1548,0,0,0.0369,0.0315,0.0666,0.036,0
NLA12_PA-112,0.4059,0.0297,0,0.0243,0.0018,0,0,0,0.0315,0,0,0,0,0.2196,0.099,0,0
NLA12_UT-143,0.4077,0.009,0,0,0,0,0,0,0,0.3987,0,0,0,0,0,0,0
NLA12_VA-109,0.4113,0.0198,0,0.0702,0.1494,0.0783,0.0477,0,0.0054,0,0.0135,0,0,0.027,0,0,0
NLA12_GA-111,0.4149,0.0495,0,0.0693,0.0729,0.0477,0.0153,0,0,0.0729,0,0.0387,0.027,0,0,0.0081,0.0135
