SITE_ID,VISIT_NO,MCYST_TL_UGL,CYANDENS
NLA06608-1024,1,0.05,2759.441185
NLA06608-1034,1,0.05,3013.387205
NLA06608-1035,1,3.7,54816.83704
NLA06608-1036,1,0.05,2093.477316
NLA06608-1037,1,0.05,9.650793651
NLA06608-1038,1,0.05,11400
NLA06608-1039,1,0.53,5736.645737
NLA06608-1041,1,0.05,40821.80277
NLA06608-1044,1,0.05,15835.5325
NLA06608-1045,1,0.15,416.3051941
NLA06608-1047,1,0.05,78389.77778
NLA06608-1052,1,0.05,2220.958332
NLA06608-1055,1,0.7,35331.55556
NLA06608-1056,1,0.05,22794.37037
NLA06608-1057,1,0.05,0
NLA06608-1058,1,0.05,151.2657005
NLA06608-1059,1,0.83,90700.16352
NLA06608-1060,1,0.2,43700
NLA06608-1060,2,0.16,55632
NLA06608-1070,1,0.05,11002.55145
NLA06608-1073,1,0.05,377.8888889
NLA06608-1075,1,0.1,0
NLA06608-1083,1,3.2,259361.9816
NLA06608-1086,1,0.17,25894.48395
NLA06608-1087,1,0.05,5338.267561
NLA06608-1089,1,0.05,1752.730901
NLA06608-1091,1,0.05,62273.09671
NLA06608-1096,1,0.05,8627.255212
NLA06608-1100,1,0.05,3575.444131
NLA06608-1101,1,0.12,10855.8053
NLA06608-1102,1,0.05,2024.555556
NLA06608-1103,1,0.05,606.5307732
NLA06608-1107,1,33,36697.00539
NLA06608-1108,1,0.1,41353.65079
NLA06608-1108,2,0.29,65697.77778
NLA06608-1111,1,4,199502.8148
NLA06608-1113,1,0.16,1719.997776
NLA06608-1114,1,0.05,1198.122365
NLA06608-1115,1,0.2,6749.925926
NLA06608-1119,1,0.05,16481.78308
NLA06608-1120,1,0.05,13967.11111
NLA06608-1122,1,0.05,3.983781762
NLA06608-1124,1,0.05,5907.358025
NLA06608-1125,1,0.05,4575.373353
