"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"66","bffFlat_grad","~~","Temp_degC_avg_yr","",-0.275122420204631,0,NA,NA,-0.275122420204631,-0.275122420204631
"67","bffFlat_grad","~~","Precip_mm_total_yr_sc","",-0.217758437328255,0,NA,NA,-0.217758437328255,-0.217758437328255
"68","bffFlat_grad","~~","PHDI_inv","",0.168159073201396,0,NA,NA,0.168159073201396,0.168159073201396
"69","bffFlat_grad","~~","HydrAP","",-0.173003497449911,0,NA,NA,-0.173003497449911,-0.173003497449911
"70","bffFlat_grad","~~","hydrap_phdiinv","",0.133392849744309,0,NA,NA,0.133392849744309,0.133392849744309
"71","bffFlat_grad","~~","L_inflow","",-0.123010013981062,0,NA,NA,-0.123010013981062,-0.123010013981062
"72","bffFlat_grad","~~","BFIWs","",0.187160684339043,0,NA,NA,0.187160684339043,0.187160684339043
"73","Temp_degC_avg_yr","~~","Temp_degC_avg_yr","",1,0,NA,NA,1,1
"74","Temp_degC_avg_yr","~~","Precip_mm_total_yr_sc","",0.694168709987194,0,NA,NA,0.694168709987194,0.694168709987194
"75","Temp_degC_avg_yr","~~","PHDI_inv","",-0.397459871535431,0,NA,NA,-0.397459871535431,-0.397459871535431
"76","Temp_degC_avg_yr","~~","HydrAP","",0.647650251561012,0,NA,NA,0.647650251561012,0.647650251561012
"77","Temp_degC_avg_yr","~~","hydrap_phdiinv","",-0.174486601372849,0,NA,NA,-0.174486601372849,-0.174486601372849
"78","Temp_degC_avg_yr","~~","L_inflow","",0.454625382368854,0,NA,NA,0.454625382368854,0.454625382368854
"79","Temp_degC_avg_yr","~~","BFIWs","",-0.476301559779505,0,NA,NA,-0.476301559779505,-0.476301559779505
"80","Precip_mm_total_yr_sc","~~","Precip_mm_total_yr_sc","",1,0,NA,NA,1,1
"81","Precip_mm_total_yr_sc","~~","PHDI_inv","",-0.364572022877279,0,NA,NA,-0.364572022877279,-0.364572022877279
"82","Precip_mm_total_yr_sc","~~","HydrAP","",0.345816817367731,0,NA,NA,0.345816817367731,0.345816817367731
"83","Precip_mm_total_yr_sc","~~","hydrap_phdiinv","",-0.302640273303098,0,NA,NA,-0.302640273303098,-0.302640273303098
"84","Precip_mm_total_yr_sc","~~","L_inflow","",0.555656169447122,0,NA,NA,0.555656169447122,0.555656169447122
"85","Precip_mm_total_yr_sc","~~","BFIWs","",-0.104360743802846,0,NA,NA,-0.104360743802846,-0.104360743802846
"86","PHDI_inv","~~","PHDI_inv","",1,0,NA,NA,1,1
"87","PHDI_inv","~~","HydrAP","",-0.265791859421344,0,NA,NA,-0.265791859421344,-0.265791859421344
"88","PHDI_inv","~~","hydrap_phdiinv","",0.783356742398928,0,NA,NA,0.783356742398928,0.783356742398928
"89","PHDI_inv","~~","L_inflow","",-0.277940763047626,0,NA,NA,-0.277940763047626,-0.277940763047626
