SITE_ID,VISIT_NO,UID,nlaSITE_ID,COMID,VolumeCorrect,FetchN,FetchNE,FetchE,FetchSE,MaxDepthCorrect,MeanDepthCorrect
NLA12_MI-102,1,1000092,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_MI-103,1,1000162,NLA06608-1162,12953712,825754.8304,855.0082961,973.7030312,1233.787168,973.0286349,2.310753487,0.782091147
NLA12_MI-104,1,1000070,NLA06608-1771,9018829,2125173.977,1380.835099,1193.921819,941.8686457,1194.235461,5.314530726,1.948395973
NLA12_MI-105,1,1000056,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_MI-106,1,1000156,NLA06608-1434,13054946,8035800.226,2108.964546,1879.557929,1148.422251,1878.980286,10.77532343,4.356992753
NLA12_MI-107,1,1000153,NLA06608-1334,12502183,34883898.43,3079.924082,3576.245884,5111.186289,3571.717236,9.058873722,2.498470012
NLA12_MI-108,1,1000066,NLA06608-1003,12256548,3311465.301,1070.43614,1163.309568,1058.031112,1163.496947,10.34214155,4.051327623
NLA12_MI-109,1,1000052,NLA06608-1130,12144358,1927332.46,1502.345655,1007.447308,1319.012802,1007.865438,3.38821489,1.08581039
NLA12_MI-110,1,1000094,NLA06608-1034,13183494,67556.13069,360.6093071,363.4451461,453.4858208,363.4507032,1.451911576,0.601975038
NLA12_MI-111,1,7001,NLA06608-1487,13174839,5526070.877,1905.686079,2272.98742,3043.370437,1768.349737,4.149980984,1.435670569
NLA12_MI-112,1,1000080,NLA06608-0363,15677567,2543625.005,1877.618668,1581.575021,1137.896922,1583.283994,2.816903779,0.871909422
NLA12_MI-113,1,1000168,NLA06608-1450,12132036,3010537.861,1417.370013,1135.904526,913.9613021,1135.462595,8.11356846,3.396096614
NLA12_MI-114,1,7002,NLA06608-1782,13173339,1672780.474,872.3206834,977.2728184,910.434031,976.6814511,7.013116886,2.622545101
NLA12_MI-115,1,1000081,NLA06608-1387,3472089,2094732.546,1224.223289,1393.773482,1463.210189,1393.4886,4.290360062,1.589151629
NLA12_MI-116,1,1000123,NLA06608-0734,11936865,1645175.328,611.2170561,483.4035618,801.2632136,483.9319395,5.716916445,2.374729211
NLA12_MI-117,1,1000091,NLA06608-0010,13173017,624530.0913,791.2983466,539.2187289,543.2249972,539.1882787,5.333070667,2.079184219
NLA12_MI-118,1,1000106,NLA06608-0286,14442904,1912070.611,1266.888521,622.9463195,596.0125243,623.469408,8.381607304,3.437475259
NLA12_MI-120,1,1000072,NA,3395864,23449.18762,266.9439754,267.9793937,185.4307843,267.5629218,1.352251103,0.529807587
NLA12_MI-122,1,1000148,NA,12498136,625425.1354,1070.537229,865.2766856,836.0537086,864.3938972,2.812106962,1.068845022
NLA12_MI-123,1,1000098,NA,12257344,14411.20674,418.5067363,453.8811005,596.22824,452.441137,0.167901204,0.075526315
NLA12_MI-124,1,1000047,NA,12134984,596808.8436,569.4519101,675.9532484,570.6114852,676.505278,6.735757883,2.869491641
NLA12_MI-125,1,7795,NA,12026722,687508.6327,472.3974323,457.1862807,696.6840119,457.2023703,7.0636987,2.915292147
NLA12_MI-126,1,1000157,NA,12951914,287621.5036,613.5702385,453.1010306,774.9850019,447.2554371,4.005308343,1.445035616
NLA12_MI-128,1,1000076,NA,3472041,1503343.696,674.2252229,588.7474014,942.7459553,587.6251771,7.79868488,2.535389769
NLA12_MI-129,1,1000096,NA,12130880,114582.7316,678.9652943,660.0101205,519.6548301,659.9093153,1.079384216,0.442882275
NLA12_MI-130,1,1000161,NA,13055614,344393.4203,272.3256367,358.5763951,872.9244818,361.6676243,4.645791176,2.117183876
NLA12_MI-132,1,1000105,NA,6847629,83060.07278,511.8392298,290.6120812,320.3402871,290.2763018,1.375073754,0.628374048
NLA12_MI-133,1,1000152,NA,12116090,113035.6074,367.718072,234.0482024,244.3529868,234.1430328,3.546983948,1.779442511
NLA12_MI-135,1,7004,NA,13174667,310414.7269,879.4871784,589.0207811,648.0210922,585.3813645,2.250709791,0.840208008
NLA12_MI-136,1,1000055,NA,12133962,76417.22202,514.6269699,514.4857576,505.7280527,514.7469377,0.931015148,0.383452988
