SITE_ID,Precip_PT,E,RH_PT,TMEAN_PT,P_WY
NLA12_ND-162,33.28,49.47341713,2.031390591,5.658076745,360.3312145
NLA12_ND-163,21.17,56.35757264,2.23347352,8.608077142,235.4434876
NLA12_ND-164,32.02,52.82417078,2.188415819,7.198846158,360.3743596
NLA12_ND-167,31.25,54.34174826,2.24587272,7.746153978,353.3268126
NLA12_ND-172,34.46,52.59771035,2.174542852,7.107307745,383.0525199
NLA12_ND-173,30.67,54.05995944,2.263868574,7.719615312,365.6683539
NLA12_ND-178,34.36,46.88894903,1.9779508,4.983076811,366.3149362
NLA12_ND-186,24.40,52.97334055,2.157219854,7.045384627,278.1816833
NLA12_ND-187,31.51,53.08650017,2.188974996,7.264230838,343.8876434
NLA12_ND-190,36.90,48.85511851,2.044128539,5.535769445,420.3295072
NLA12_ND-193,32.62,53.04316005,2.196548307,7.278846061,364.9851421
NLA12_ND-194,33.27,51.92081603,2.095942367,6.625769156,393.5639345
NLA12_ND-196,35.26,52.2973712,2.189550527,7.023076846,399.1835761
NLA12_ND-198,30.76,47.05336393,1.980904587,5.011923111,340.9560788
NLA12_ND-199,31.77,52.51693329,2.162049361,7.068461492,334.7436652
NLA12_ND-202,30.52,50.35584744,2.076380962,6.302307844,351.3177876
NLA12_ND-R17,35.32,52.75743055,2.224209919,7.357307819,418.3044984
NLA12_ND-R18,35.15,53.57912777,2.215740761,7.40730779,387.4995927
NLA12_NE-101,39.99,67.70701581,2.659261792,12.31846129,503.5482544
NLA12_NE-102,32.61,65.65862066,2.582723432,11.89846134,410.5233285
NLA12_NE-103,27.42,64.81091676,2.540686578,11.52576922,339.6139557
NLA12_NE-104,32.01,63.49629913,2.538781515,11.10615393,411.3808693
NLA12_NE-105,30.64,64.68561709,2.545763375,11.60769246,380.2333377
NLA12_NE-106,44.27,67.34980222,2.667026739,12.17615386,531.1095182
NLA12_NE-107,17.47,61.13018177,2.392514169,10.42730746,211.873655
NLA12_NE-108,31.42,64.8267182,2.543773464,11.65807709,398.4938535
NLA12_NE-109,24.72,63.70637346,2.541096258,11.28423067,300.3160707
NLA12_NE-110,51.14,68.82428971,2.719655835,12.77807692,593.7293352
NLA12_NE-111,14.86,62.57891029,2.481013277,10.93923079,191.6975927
NLA12_NE-112,21.92,59.9396742,2.411780409,10.00076919,278.6550544
NLA12_NE-113,41.17,61.9625576,2.46258292,10.8407692,518.0722195
NLA12_NE-114,31.53,62.89635487,2.489094095,10.95846158,405.7827642
NLA12_NE-121,29.51,64.40345094,2.528484509,11.5076923,377.7456046
NLA12_NE-125,31.99,64.93912431,2.548617913,11.67307674,403.602845
NLA12_NE-127,16.19,60.3258372,2.381694943,10.18384607,202.8777771
NLA12_NE-129,38.68,68.56402288,2.675875749,12.35423073,451.511308
NLA12_NE-133,31.99,63.7991899,2.509264709,11.14846171,412.8362947
NLA12_NE-135,15.69,60.4925054,2.375192791,10.2342307,185.8052132
NLA12_NE-149,26.87,65.25286356,2.58196591,11.9273077,342.8624819
NLA12_NE-154,44.12,69.56556177,2.738005693,12.92769223,540.6593355
NLA12_NE-156,21.95,62.04389895,2.443098686,10.78884609,282.6403203
NLA12_NE-157,44.72,69.26618439,2.706377827,12.51307719,530.5779389
NLA12_NE-158,50.36,69.59756721,2.720052826,12.98307703,612.6388437
NLA12_NE-160,16.15,63.22187075,2.500821738,11.0919232,198.3175399
NLA12_NE-166,29.47,63.77527352,2.593493457,11.65384586,378.3914616
NLA12_NE-170,44.75,68.78224939,2.709592436,12.62384624,536.6857574
NLA12_NH-101,115.21,50.53861525,2.439046762,8.492307627,1325.129165
NLA12_NH-102,99.42,44.10484183,2.198860057,5.885000009,1180.942019
NLA12_NH-103,97.83,55.23949207,2.640074121,9.929230911,1125.77144
NLA12_NH-104,102.33,51.68123364,2.531909861,9.176153879,1130.607118
NLA12_NH-105,101.18,53.27980357,2.551539026,9.595384469,1148.846394
NLA12_NH-107,94.40,56.46202896,2.675164973,10.66153864,1095.087865
NLA12_NH-108,98.82,53.29633874,2.576849673,9.499231063,1130.627672
NLA12_NH-109,110.21,51.46889024,2.568781954,9.21692309,1262.584906
NLA12_NH-111,104.54,54.73111791,2.595988842,10.01115386,1218.804457
NLA12_NH-112,106.78,51.39606274,2.49585136,9.189231101,1161.268213
NLA12_NH-115,111.27,51.08697301,2.443824315,8.612307988,1290.576259
