"","SITE_ID","DSGN_CYCLE","SITETYPE","IND_DOMAIN","UNIQUE_ID","WGT_CAT","WGT_SP","WGT_TP"
"710","NLA12_OR-129",2012,"PROB","CORE","NLA_OR-10084","WMT_(10,20]",6.815252071,0
"711","NLA12_OR-133",2012,"PROB","CORE","NLA_OR-10087","WMT_(10,20]",6.815252071,0
"712","NLA12_OR-144",2012,"PROB","CORE","NLA_OR-10098","WMT_(1,4]",54.27225756,0
"713","NLA12_OR-145",2012,"PROB","CORE","NLA_OR-10099","WMT_(20,50]",10.44114627,0
"714","NLA12_OR-154",2012,"PROB","CORE","NLA_OR-10108","WMT_>50",10.05489776,0
"715","NLA12_OR-155",2012,"PROB","CORE","NLA_OR-10109","WMT_>50",10.05489776,0
"716","NLA12_OR-158",2012,"PROB","CORE","NLA_OR-10112","WMT_(4,10]",17.92912664,0
"717","NLA12_OR-160",2012,"PROB","CORE","NLA_OR-10114","WMT_(1,4]",54.27225756,0
"718","NLA12_OR-163",2012,"PROB","CORE","NLA_OR-10117","WMT_(1,4]",54.27225756,0
"719","NLA12_OR-167",2012,"PROB","CORE","NLA_OR-10121","WMT_(10,20]",6.815252071,0
"720","NLA12_OR-169",2012,"PROB","CORE","NLA_OR-10123","WMT_>50",10.05489776,0
"721","NLA12_OR-173",2012,"PROB","CORE","NLA_OR-10127","WMT_(4,10]",17.92912664,0
"722","NLA12_PA-105",2012,"PROB","CORE","NLA_PA-10010","NAP_(10,20]",201.2502073,0
"723","NLA12_PA-101",2012,"PROB","CORE","NLA_PA-10014","SAP_>50",12.70591426,0
"724","NLA12_PA-107",2012,"PROB","CORE","NLA_PA-10017","SAP_(10,20]",48.30805457,0
"725","NLA12_PA-102",2012,"PROB","CORE","NLA_PA-10020","SAP_>50",11.53908336,0
"726","NLA12_PA-106",2012,"PROB","CORE","NLA_PA-10023","SAP_>50",4.669449038,0
"727","NLA12_PA-103",2012,"PROB","CORE","NLA_PA-10025","NAP_(20,50]",95.58302338,0
"728","NLA12_PA-108",2012,"PROB","CORE","NLA_PA-10030","CPL_>50",8.418605316,0
"729","NLA12_PA-109",2012,"PROB","CORE","NLA_PA-10031","NAP_>50",26.63364996,0
"730","NLA12_PA-110",2012,"PROB","CORE","NLA_PA-10032","NAP_(10,20]",61.18839765,0
"731","NLA12_PA-111",2012,"PROB","CORE","NLA_PA-10033","SAP_>50",23.33567339,0
"732","NLA12_PA-113",2012,"PROB","CORE","NLA_PA-10035","NAP_>50",26.63364996,0
"733","NLA12_PA-114",2012,"PROB","CORE","NLA_PA-10036","NAP_>50",26.63364996,0
"734","NLA12_PA-115",2012,"PROB","CORE","NLA_PA-10037","NAP_(10,20]",61.18839765,0
"735","NLA12_PA-117",2012,"PROB","CORE","NLA_PA-10039","SAP_(1,4]",308.6170468,0
"736","NLA12_PA-118",2012,"PROB","CORE","NLA_PA-10040","NAP_(20,50]",52.58882987,0
"737","NLA12_PA-119",2012,"PROB","CORE","NLA_PA-10041","SAP_>50",23.33567339,0
"738","NLA12_RI-103",2012,"PROB","CORE","NLA_RI-10009","NAP_(20,50]",13.16154736,0
"739","NLA12_RI-112",2012,"PROB","CORE","NLA_RI-10015","NAP_>50",4.706808829,0
"740","NLA12_RI-102",2012,"PROB","CORE","NLA_RI-10026","NAP_>50",7.721755768,0
"741","NLA12_RI-108",2012,"PROB","CORE","NLA_RI-10029","NAP_>50",4.745075568,0
