SITE_ID,VISIT_NO,UID,INDEX_SITE_DEPTH
NLA12_NC-105,1,6359,42.5
NLA12_NC-107,1,6286,3.4
NLA12_NC-108,1,6400,11.7
NLA12_NC-109,1,6398,8.6
NLA12_NC-114,1,8123,4.1
NLA12_NC-115,1,7846,2.4
NLA12_NC-116,1,6469,2.9
NLA12_NC-116,2,8044,2.8
NLA12_NC-124,1,7845,5.1
NLA12_NC-127,1,7816,6.5
NLA12_NC-134,1,8171,4.3
NLA12_ND-101,1,6344,3.7
NLA12_ND-101,2,7039,4
NLA12_ND-102,1,6841,3.5
NLA12_ND-103,1,7518,3.1
NLA12_ND-104,1,6475,6.5
NLA12_ND-105,1,8156,12.4
NLA12_ND-106,1,6981,3.9
NLA12_ND-107,1,7068,2.3
NLA12_ND-108,1,6645,1.9
NLA12_ND-109,1,7384,4.5
NLA12_ND-110,1,6566,1.8
NLA12_ND-112,1,6217,6
NLA12_ND-113,1,8127,2.7
NLA12_ND-114,1,7350,1.9
NLA12_ND-115,1,6189,9
NLA12_ND-115,2,6774,10
NLA12_ND-118,1,6476,4
NLA12_ND-119,1,6852,2
NLA12_ND-126,1,6654,2
NLA12_ND-129,1,7482,2.1
NLA12_ND-131,1,7707,15
NLA12_ND-134,1,7067,5.1
NLA12_ND-139,1,6538,3.5
NLA12_ND-145,1,7701,3
NLA12_ND-146,1,6546,2.3
NLA12_ND-149,1,7417,4.3
NLA12_ND-151,1,6697,2.5
NLA12_ND-155,1,6693,1.7
NLA12_ND-156,1,7858,4.5
NLA12_ND-160,1,7543,3.1
NLA12_ND-162,1,6577,3
NLA12_ND-163,1,6599,2.5
NLA12_ND-164,1,7418,4.8
NLA12_ND-167,1,6853,4
NLA12_ND-172,1,7526,3.3
NLA12_ND-173,1,6717,2.8
NLA12_ND-178,1,6594,7.5
NLA12_ND-186,1,6636,1.5
NLA12_ND-187,1,6865,10.7
NLA12_ND-190,1,7649,1.1
NLA12_ND-193,1,7449,3.4
NLA12_ND-194,1,7559,2.4
NLA12_ND-196,1,6964,4
NLA12_ND-198,1,7645,1.9
NLA12_ND-199,1,8150,1.9
NLA12_ND-202,1,7644,2.1
NLA12_NE-101,1,7344,10.2
NLA12_NE-101,2,8229,8.8
NLA12_NE-102,1,8067,1.6
NLA12_NE-103,1,1000085,4.4
NLA12_NE-104,1,1000088,2.7
NLA12_NE-105,1,8028,3
NLA12_NE-106,1,7369,2.8
NLA12_NE-107,1,7775,1.1
NLA12_NE-108,1,8029,1.6
NLA12_NE-109,1,1000084,6
NLA12_NE-110,1,7405,1.5
NLA12_NE-111,1,7830,2.4
NLA12_NE-112,1,7840,1.4
NLA12_NE-113,1,8066,2.5
NLA12_NE-114,1,1000086,10.5
NLA12_NE-121,1,7960,1.6
NLA12_NE-125,1,7926,1.5
NLA12_NE-127,1,8159,1
NLA12_NE-129,1,7435,2
NLA12_NE-129,2,8279,2.2
NLA12_NE-133,1,1000093,1.2
NLA12_NE-135,1,8124,1
NLA12_NE-149,1,8243,1.4
NLA12_NE-154,1,8220,2.5
NLA12_NE-156,1,8221,1
NLA12_NE-157,1,8301,21.6
NLA12_NE-158,1,8326,2.9
NLA12_NE-160,1,8186,7.5
NLA12_NE-166,1,8242,5.3
NLA12_NE-170,1,8248,3.5
NLA12_NH-101,1,6670,6.1
NLA12_NH-101,2,7380,5.8
NLA12_NH-102,1,7104,3.1
NLA12_NH-103,1,6858,43.9
NLA12_NH-104,1,6601,9.1
NLA12_NH-105,1,6812,2.5
NLA12_NH-107,1,7544,2.4
NLA12_NH-108,1,6549,2.7
NLA12_NH-109,1,7295,18.9
NLA12_NH-111,1,7231,5.5
NLA12_NH-112,1,6715,4.1
NLA12_NH-112,2,7441,4.1
NLA12_NH-115,1,1000130,4.3
NLA12_NJ-101,1,7210,5.6
NLA12_NJ-101,2,8659,2.8
NLA12_NJ-102,1,7151,2.4
NLA12_NJ-103,1,8676,7.5
NLA12_NJ-104,1,7209,3.6
NLA12_NJ-105,1,8545,1.4
NLA12_NJ-106,1,8591,4.4
NLA12_NJ-107,1,6800,2.9
NLA12_NJ-108,1,8761,2.1
NLA12_NJ-118,1,7058,4.3
NLA12_NJ-119,1,7152,3.1
NLA12_NJ-131,1,7043,1.6
NLA12_NJ-131,2,8640,1.8
NLA12_NM-104,1,6372,20.5
NLA12_NM-104,2,8052,14
NLA12_NM-105,1,6361,1.6
NLA12_NM-117,1,6403,9.4
NLA12_NM-117,2,8073,8.8
NLA12_NM-129,1,6507,14
NLA12_NM-132,1,6319,3.2
NLA12_NM-133,1,6412,1.9
NLA12_NM-134,1,6500,16.9
NLA12_NM-138,1,6501,8
NLA12_NM-150,1,6477,1.9
NLA12_NM-152,1,6341,1
NLA12_NM-160,1,6532,3.4
NLA12_NM-161,1,8048,2.5
NLA12_NM-162,1,8053,5.8
NLA12_NV-101,1,6482,1.1
NLA12_NV-101,2,7278,1
NLA12_NV-102,1,6720,2.1
NLA12_NV-103,1,6719,2
NLA12_NV-104,1,7137,6.2
NLA12_NV-105,1,7135,5.2
NLA12_NV-106,1,6481,1.2
NLA12_NV-109,1,6829,44.4
NLA12_NV-119,1,7136,3
NLA12_NV-119,2,7277,2.2
NLA12_NV-127,1,6617,2.2
NLA12_NV-137,1,7276,6.4
NLA12_NV-141,1,6775,4
NLA12_NV-144,1,7306,1.7
NLA12_NV-167,1,6618,1.5
NLA12_NV-177,1,7275,5.4
NLA12_NV-193,1,6793,3.9
NLA12_NY-0101,1,6694,42.3
NLA12_NY-0101,2,8546,43.7
NLA12_NY-0102,1,6834,3
NLA12_NY-0103,1,8647,5.8
NLA12_NY-0104,1,6576,2.6
NLA12_NY-0104,2,7954,2.5
NLA12_NY-0106,1,7190,7
NLA12_NY-0108,1,7490,1.7
NLA12_NY-0109,1,7266,4.8
NLA12_NY-0110,1,7206,4.6
NLA12_NY-0111,1,7284,5.7
NLA12_NY-0112,1,8597,3.8
NLA12_OH-101,1,8023,3.2
NLA12_OH-101,2,8387,3
NLA12_OH-102,1,7572,1
NLA12_OH-103,1,6923,9
NLA12_OH-104,1,8151,4.1
NLA12_OH-105,1,8635,1.5
NLA12_OH-106,1,8256,8.1
NLA12_OH-107,1,8075,4.2
NLA12_OH-112,1,8423,7.9
NLA12_OH-113,1,8642,3.2
NLA12_OH-115,1,8207,7.3
NLA12_OH-118,1,7232,5.2
NLA12_OH-118,2,8169,5.2
NLA12_OH-122,1,8487,3.9
NLA12_OH-127,1,7294,12
NLA12_OH-134,1,7652,2.6
NLA12_OH-136,1,7105,2.3
NLA12_OH-137,1,7637,12.5
NLA12_OK-101,1,6550,7.2
NLA12_OK-101,2,8482,8.4
NLA12_OK-102,1,8462,5
NLA12_OK-103,1,6919,16.5
NLA12_OK-104,1,6669,13
NLA12_OK-105,1,7023,1.7
NLA12_OK-106,1,7028,3.5
NLA12_OK-107,1,7959,9.6
NLA12_OK-108,1,6555,5.7
