SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLL_BATCH_ID,CHLL_QA_FLAG
NLA12_OK-105,1,33.8,CHLL-20120801,NA
NLA12_WY-105,1,22.08,120724.1,NA
NLA12_OR-104,1,2.86,120724.1,NA
NLA12_OK-106,1,28.4,CHLL-20120801,NA
NLA12_ND-101,2,141.26,120724.1,NA
NLA12_IA-127,1,23,120724.1,NA
NLA12_MO-R02,1,2.69,120724.1,NA
NLA12_NJ-131,1,2.55,120724.1,NA
NLA12_MN-147,1,10.45,120724.1,NA
NLA12_VA-111,1,33.6,120724.1,NA
NLA12_VA-101,1,27.04,120724.1,NA
NLA12_WA-138,1,1.93,120724.1,NA
NLA12_VT-R01,1,0.92,120725.2,NA
NLA12_UT-169,1,1.93,120724.1,NA
NLA12_NJ-118,1,9.02,120724.1,NA
NLA12_OK-117,1,154,CHLL-20120801,NA
NLA12_MN-123,1,12.76,120724.1,NA
NLA12_SD-126,1,94.32,120724.1,NA
NLA12_TX-176,1,19.55,120724.1,NA
NLA12_CA-180,1,4.4,L-340-12_12_2328,ND;X2
NLA12_MT-143,1,0.89,120725.2,NA
NLA12_ND-134,1,22.64,120724.1,NA
NLA12_ND-107,1,16.68,120725.2,NA
NLA12_MO-R01,1,1.42,120724.1,NA
NLA12_WY-135,1,4.72,120724.1,NA
NLA12_WY-131,1,9.92,120724.1,NA
NLA12_CT-104,1,10.76,120724.1,NA
NLA12_RI-110,1,3.34,120724.1,NA
NLA12_VA-121,1,46.88,120724.1,NA
NLA12_VA-105,1,25.44,120724.1,NA
NLA12_VT-R02,1,1.61,120725.2,NA
NLA12_UT-210,1,2.18,120725.2,NA
NLA12_OR-169,1,0.8,120725.2,NA
NLA12_CO-115,1,3.66,120724.1,NA
NLA12_MI-101,1,3.26,120719.1,NA
NLA12_NH-102,1,4.72,120725.2,NA
NLA12_OH-136,1,185.76,120725.2,NA
NLA12_OK-302,1,4.04,CHLL-20120801,NA
NLA12_SD-158,1,12.76,120725.2,NA
NLA12_TX-170,1,40.4,120725.2,NA
NLA12_TX-190,1,3.23,120725.2,NA
NLA12_PA-105,1,4.34,NOT PROVIDED,NA
NLA12_PA-110,1,21.15,NOT PROVIDED,NA
NLA12_MN-101,1,4.02,120724.1,NA
NLA12_IA-134,1,93.9,120725.2,NA
NLA12_CA-105,1,12,L-359-12_2329,NA
NLA12_MO-115,1,11.14,120725.2,NA
NLA12_MT-108,1,9.888,120727.1,NA
NLA12_NV-105,1,3.07,120725.2,NA
NLA12_NV-119,1,0.76,120725.2,NA
NLA12_NV-104,1,4.37,120725.2,NA
NLA12_RI-112,1,5.62,120724.1,NA
NLA12_MN-116,1,22.08,120725.2,NA
NLA12_WA-141,1,3.58,120724.1,NA
NLA12_RI-113,1,4.03,120725.2,NA
NLA12_SD-111,1,86.954,120727.1,NA
NLA12_NJ-102,1,17.28,120727.1,NA
NLA12_NJ-119,1,5.727,120727.1,NA
NLA12_UT-101,2,1.401,120727.1,NA
NLA12_UT-222,1,269.018,120727.1,NA
NLA12_UT-137,1,4.13,120725.2,NA
NLA12_ID-112,1,1.029,120727.1,NA
NLA12_ID-102,1,0.704,120727.1,NA
NLA12_ID-108,1,3.42,120727.1,NA
NLA12_ID-207,1,12,120727.1,NA
NLA12_CA-R13,1,0.231,120727.1,NA
NLA12_CO-101,1,18.88,120727.1,NA
NLA12_NY-R02,1,4.6,120725.2,NA
NLA12_TX-136,1,28.8,120731.1,NA
NLA12_WA-101,1,7.16,120725.2,NA
NLA12_ID-165,1,3.6,120731.1,NA
NLA12_ID-121,1,0.92,120731.1,NA
NLA12_ID-105,1,1.61,120731.1,NA
NLA12_NY-0106,1,1.619,120727.1,NA
NLA12_VA-109,2,6.35,120731.1,NA
NLA12_SD-134,1,55.36,120731.1,NA
NLA12_CA-R12,1,1.12,120731.1,NA
NLA12_TX-111,1,12.43,120731.1,NA
NLA12_NY-0110,1,2.24,120731.1,NA
NLA12_OR-113,1,2.14,120731.1,NA
NLA12_CA-190,1,53,L-362-12_12_2513,NA
NLA12_NJ-104,1,22.96,120731.1,NA
NLA12_NJ-101,1,10.7,120731.1,NA
NLA12_IL-118,1,53.44,120802.1,NA
NLA12_MD-115,1,96.8,120731.1,NA
NLA12_CT-118,1,NA,NA,M
NLA12_UT-294,1,2.32,120731.1,NA
NLA12_OR-123,1,2.62,120731.1,NA
NLA12_AL-102,1,8.48,120802.1,NA
