SITE_ID,VISIT_NO,MICL_RESULT_ugL,MICL_BATCH_ID,MICL_QA_FLAG
NLA12_MS-105,1,0,M16,N
NLA12_NE-129,1,1.18944,M16,NA
NLA12_NH-112,2,0.1215,M16,J03
NLA12_IN-160,1,0.35062,M16,NA
NLA12_IN-172,1,0.02994,M16,J02
NLA12_IN-128,1,0.13585,M16,J03
NLA12_IL-109,1,3.14215,M16,NA
NLA12_ND-193,1,50.5432,M17,NA
NLA12_CT-107,1,0.05138,M16,J02
NLA12_SD-165,1,0.06898,M16,J02
NLA12_GA-104,1,0.18064,M16,NA
NLA12_VA-126,1,0.04252,M16,J02
NLA12_AL-114,1,0.08332,M17,J02
NLA12_SD-132,1,0.17493,M17,NA
NLA12_GA-R01,1,0.09046,M17,J02
NLA12_IA-102,1,5.47225,M19,NA
NLA12_ME-109,1,0.14242,M16,J03
NLA12_MN-R13,1,0.14425,M16,J03
NLA12_NV-R01,1,0.08498,M17,J02
NLA12_RI-102,2,0,M16,N
NLA12_MT-160,1,0,M16,N
NLA12_MT-156,1,0,M16,N
NLA12_ME-R03,1,0.08564,M16,J02
NLA12_AZ-107,1,0.0967,M18,J03
NLA12_CO-125,1,0,M16,N
NLA12_ID-142,1,0.08687,M16,J02
NLA12_ID-158,1,0,M16,N
NLA12_ID-215,1,0,M16,N
NLA12_ND-129,1,5.28905,M17,NA
NLA12_TX-114,1,0.11999,M18,J03
NLA12_NY-0108,1,0,M19,N
NLA12_TX-205,1,0.10315,M16,J03
NLA12_WY-120,1,0.04491,M17,J02
NLA12_WY-117,1,0,M17,N
NLA12_WY-103,1,0.07533,M17,J02
NLA12_MN-R14,1,0.09811,M16,J03
NLA12_MS-101,2,0.074,M17,J02
NLA12_MS-112,1,0.09886,M17,J03
NLA12_MS-125,1,0.08201,M17,J02
NLA12_SD-212,1,0.085319999999999993,M17,J02
NLA12_ND-103,1,0.26837,M17,NA
NLA12_VT-103,1,0,M19,N
NLA12_ND-172,1,0.67467,M18,NA
NLA12_MD-118,1,0,M18,N
NLA12_OH-R02,1,0.05835,M18,J02
NLA12_CA-145,1,0.0776,M18,J02
NLA12_FL-103,1,0.25187,M17,NA
NLA12_FL-108,1,0.16602,M17,NA
NLA12_FL-R06,1,0,M17,N
NLA12_ID-166,1,0,M18,N
NLA12_ME-110,1,0,M19,N
NLA12_MS-128,1,0.06843,M18,J02
NLA12_SD-107,1,0.03993,M17,J02
NLA12_VA-102,1,0.08749,M21,J02
NLA12_WA-R08,1,0.04954,M18,J02
NLA12_ND-160,1,0.0967,M17,J03
NLA12_NH-107,1,0.10202,M17,J03
NLA12_IN-127,1,0,M19,N
NLA12_ID-110,1,0.06892,M18,J02
NLA12_SD-119,1,0.16987,M17,NA
NLA12_MD-108,1,5.09822,M18,NA
NLA12_ND-194,1,4.7213,M18,NA
NLA12_OR-129,1,0.04531,M18,J02
NLA12_CA-128,1,0.15361,M18,NA
NLA12_VA-119,1,14.65045,M21,NA
NLA12_VA-R06,1,0.09647,M21,J03
NLA12_ME-106,1,0,M19,N
NLA12_MS-113,1,0.0588,M18,J02
NLA12_OH-102,1,0.07707,M18,J02
NLA12_MN-104,1,0,B2I0331,N
NLA12_MN-131,1,0,B2I0331,N
NLA12_IN-111,1,2.35204,M19,NA
NLA12_WY-R02,1,0,M18,N
NLA12_MN-143,1,0.81,B2I0332,NA
